Area Code,Area,Year,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",Coefficient of human inequality,Difference from HDI value (%),Expected Years of Schooling (years),"Expected Years of Schooling, female (years)","Expected Years of Schooling, male (years)",Gender Development Index (value),Gender Inequality Index (value),"Gross National Income Per Capita, female (2017 PPP$)","Gross National Income Per Capita, male (2017 PPP$)",Gross National Income Per Capita (2017 PPP$),Human Development Index (value),HDI female,HDI male,Inequality-adjusted Human Development Index (value),Inequality in eduation,Inequality in income,Inequality in life expectancy,Life Expectancy at Birth (years),"Life Expectancy at Birth, female (years)","Life Expectancy at Birth, male (years)","Labour force participation rate, female (% ages 15 and older)","Labour force participation rate, male (% ages 15 and older)",Overall loss (%),Material footprint per capita (tonnes),"Maternal Mortality Ratio (deaths per 100,000 live births)",Mean Years of Schooling (years),"Mean Years of Schooling, female (years)","Mean Years of Schooling, male (years)",Planetary pressures–adjusted Human Development Index (value),"Population, total (millions)","Share of seats in parliament, female (% held by women)","Share of seats in parliament, male (% held by men)","Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)"
202,South Africa,2017,63.706,31.88522933,7.724137931,14.26511002,14.73661995,13.8050499,0.984,0.414,10226.63796,17108.55099,13563.67115,0.725,0.716054905,0.727922402,0.469,17.29413,59.93249,18.429068,65.402,68.43,61.954,52.19,65.81,35.31034483,7.3284,133.4352505,10.14218044,10.01850986,10.27770042,0.669,56.6412095,41.03139013,58.96860987,71.14021301,73.62943268
202,South Africa,2018,59.361,32.08279367,7.523939808,14.0805397,14.51226997,13.66059971,0.967,0.407,10313.30039,17089.25751,13601.13158,0.731,0.714131279,0.738230721,0.472,17.29413,59.93249,19.021761,65.674,68.74,62.203,51.58,65.12,35.43091655,7.3045,125.3975146,10.7576704,9.837949753,11.21502542,0.676,57.339635,41.8344519,58.1655481,70.01896286,80.64782715
202,South Africa,2019,64.982,32.19489233,7.692307692,14.21393013,14.65775013,13.78166008,0.959,0.408,11138.83348,16013.5066,13506.04814,0.741,0.719308385,0.749688961,0.478,17.29413,59.93249,19.358057,66.175,69.107,62.834,51.95,65.13,35.4925776,6.8688,118.2704013,11.37316036,9.657389641,12.15235043,0.684,58.087055,45.33333333,54.66666667,68.89771271,87.66622162
202,South Africa,2020,62.742,31.24610767,7.479224377,13.98349953,14.45913982,13.52110958,0.984,0.403,9895.458726,15456.38512,12598.35718,0.722,0.714303258,0.725867612,0.471,17.29413,59.93249,16.511703,65.252,67.964,62.178,48.61,61.18,34.76454294,7.6564,126.8326855,10.55465984,10.47360992,10.65505981,0.668,58.8019265,45.69536424,54.30463576,78.29512024,80.43251038
202,South Africa,2021,61.206,32.029957,7.073509015,14.26364994,14.84506989,13.69876003,0.984,0.401,10258.12176,15991.91015,13047.6365,0.721,0.713932687,0.725367757,0.466,17.29413,59.93249,18.863251,62.341,64.999,59.458,49.56,62.36,35.36754508,6.8001,126.8326855,11.60696983,11.4988699,11.72364044,0.67,59.392255,45.98214286,54.01785714,83.04311371,84.88062286
277,South Sudan,2017,101.003,41.890454,1.322751323,5.634770141,4.510310007,6.738390029,,,,,667.0849947,0.378,,,0.219,39.55255,48.85379,37.265022,55.309,57.138,53.455,,,42.06349206,3.4905,1251.626544,5.726140022,4.762169838,6.189479828,0.373,10.6582255,26.55889145,73.44110855,26.53763962,36.35723877
277,South Sudan,2018,99.334,41.82404267,1.578947368,5.634770141,4.510310007,6.738390029,,,,,665.5147193,0.38,,,0.22,39.55255,48.85379,37.065788,55.95,57.35,54.487,,,42.10526316,4.1829,1274.816965,5.726140022,4.762169838,6.189479828,0.374,10.3953295,26.55889145,73.44110855,26.53763962,36.35723877
277,South Sudan,2019,98.79,41.842123,1.534526854,5.634770141,4.510310007,6.738390029,,,,,784.4743975,0.391,,,0.226,39.55255,48.85379,37.120029,55.912,57.29,54.471,,,42.19948849,3.6947,1245.170575,5.726140022,4.762169838,6.189479828,0.385,10.447666,26.55889145,73.44110855,26.53763962,36.35723877
277,South Sudan,2020,99.177,41.78820367,1.813471503,5.634770141,4.510310007,6.738390029,,,,,748.1979273,0.386,,,0.224,39.55255,48.85379,36.958271,55.48,56.998,53.906,,,41.96891192,4.8169,1222.530912,5.726140022,4.762169838,6.189479828,0.379,10.606227,26.55889145,73.44110855,26.53763962,36.35723877
277,South Sudan,2021,99.199,41.793477,1.312335958,5.634770141,4.510310007,6.738390029,,,,,707.324608,0.381,,,0.221,39.55255,48.85379,36.974091,54.975,56.472,53.429,,,41.99475066,3.6351,1222.530912,5.726140022,4.762169838,6.189479828,0.376,10.7482725,32.33438486,67.66561514,26.53763962,36.35723877
