Area,Year,Cost of a healthy diet (PPP dollar per person per day),Coefficient of human inequality,Human Development Index (value),Inequality in eduation,Inequality in income,Inequality in life expectancy,2.a.1 Agriculture share of Government Expenditure,2.a.1 Agriculture value added share of GDP,6.4.1 Water Use Efficiency (Agriculture (ISIC4 A01 A0210 A0322)),6.4.1 Water Use Efficiency (Industries),"Gross domestic product per capita, PPP, (constant 2017 international $)",Per capita food supply variability (kcal/cap/day),Value of food imports in total merchandise exports (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Percentage of the population unable to afford a healthy diet (percent)
Congo,2018,3.385,32.79805567,0.603,20.93222,55.11418,22.347767,1.05,6.91,0.2,206.07,3786.4,21.0,6.0,30.2,90.0
Congo,2019,3.365,33.28715433,0.596,20.93222,55.11418,23.815063,,7.55,0.22,192.05,3695.1,23.0,6.0,30.8,90.0
Congo,2020,3.421,32.49021067,0.598,20.93222,55.11418,21.424232,,11.24,0.3,107.53,3384.7,27.0,8.0,31.1,90.8
Congo,2021,3.626,32.34441433,0.598,20.93222,55.11418,20.986843,,8.57,0.23,160.03,3234.4,20.0,9.0,32.0,91.5
Cook Islands,2017,,,,,,,1.9,2.92,,,,,216.0,,
Cook Islands,2018,,,,,,,1.26,2.67,,,,,225.0,,
Cook Islands,2019,,,,,,,1.78,2.46,,,,,219.0,,
Cook Islands,2020,,,,,,,2.17,2.74,,,,,202.0,,
Cook Islands,2021,,,,,,,1.65,2.73,,,,,206.0,,
Costa Rica,2017,3.961,17.6761146,0.8,11.9393,35.09852,5.9905238,1.17,4.7,0.47,46.49,20168.2,35.0,19.0,3.7,16.0
Costa Rica,2018,4.0,17.56054087,0.804,11.58937,35.24553,5.8467226,1.15,4.48,0.44,46.37,20503.3,46.0,18.0,3.2,16.3
Costa Rica,2019,4.048,17.5011435,0.811,11.57678,35.22054,5.7061105,1.06,4.2,0.42,46.26,20818.1,40.0,16.0,3.1,16.3
Costa Rica,2020,3.889,17.23041847,0.811,11.27861,34.53159,5.8810554,0.97,4.41,0.43,45.55,19824.3,33.0,15.0,3.1,21.0
Costa Rica,2021,3.925,17.525848,0.804,11.09928,35.58662,5.891644,0.75,4.45,0.46,49.61,21199.3,15.0,14.0,3.1,14.2
Cuba,2017,,,0.764,10.93381,,4.7849526,4.75,3.8,0.2,27.52,,48.0,71.0,2.5,
Cuba,2018,,,0.765,10.93381,,4.7371688,5.57,3.78,0.2,28.78,,61.0,77.0,2.5,
Cuba,2019,,,0.766,9.09712,,4.7070961,4.98,3.57,0.19,28.28,,60.0,79.0,2.5,
Cuba,2020,,,0.759,9.09712,,4.5580468,,2.76,0.13,23.8,,51.0,85.0,2.5,
Cuba,2021,,,0.742,9.09712,,4.6280622,,2.12,0.1,20.25,,21.0,101.0,2.5,
Cyprus,2017,2.846,10.00971333,0.891,11.0377,16.25336,2.73808,1.48,1.85,0.71,125.55,38415.1,52.0,29.0,2.5,0.1
Cyprus,2018,2.88,9.383959633,0.896,10.478,14.96896,2.7049189,1.22,1.73,0.73,146.03,40092.7,34.0,26.0,2.5,0.1
Cyprus,2019,2.947,9.6868949,0.901,10.1612,16.21605,2.6834347,1.46,1.77,0.84,164.41,41739.5,25.0,26.0,2.5,0.3
Cyprus,2020,2.991,9.004767167,0.9,9.5209,14.81814,2.6752615,1.38,1.88,0.82,157.97,39464.5,31.0,27.0,2.5,0.1
Cyprus,2021,2.955,9.054658667,0.901,9.26237,15.25759,2.644016,1.6,1.7,0.8,169.09,41694.3,26.0,30.0,2.5,0.0
Azerbaijan,2017,2.348,6.894988667,0.754,3.5639,3.587569,13.533497,2.48,5.61,0.19,44.3,14121.4,35.0,9.0,2.5,0.0
Azerbaijan,2018,2.399,7.368657333,0.757,3.5844,5.702734,12.818838,3.47,5.21,0.18,52.62,14209.6,21.0,9.0,2.5,0.0
Azerbaijan,2019,2.459,7.160826,0.762,3.5519,5.702734,12.227844,2.87,5.7,0.19,44.99,14442.0,27.0,8.0,2.5,0.0
Azerbaijan,2020,2.533,7.304447333,0.722,3.5519,5.702734,12.658708,3.03,6.74,0.2,36.67,13726.8,62.0,9.0,2.5,0.0
Azerbaijan,2021,2.69,6.859257,0.738,3.5519,5.702734,11.323137,1.24,5.88,0.18,42.61,14431.7,77.0,10.0,2.5,0.0
Benin,2017,3.55,,0.505,43.69355,,35.140415,4.34,28.49,0.61,59.46,2933.8,17.0,68.0,8.7,90.6
Benin,2018,3.67,,0.506,43.69355,,34.630322,4.07,28.06,0.64,61.6,3040.2,21.0,68.0,9.5,86.8
Benin,2019,3.664,39.01690833,0.506,43.69355,39.25987,34.097305,3.22,26.88,0.65,73.65,3156.4,27.0,52.0,10.4,82.4
Benin,2020,3.707,38.75987667,0.501,43.69355,39.25987,33.32621,5.03,27.11,0.68,76.03,3186.5,18.0,39.0,10.6,82.1
Benin,2021,4.041,38.53838267,0.502,43.69355,39.25987,32.661728,3.3,28.53,0.77,82.2,3321.6,26.0,30.0,10.2,82.6
Denmark,2017,2.376,5.908394,0.944,3.01247,11.11047,3.602242,0.3,1.3,1.31,1731.2,55356.7,13.0,8.0,2.5,0.2
Denmark,2018,2.44,5.967611867,0.942,2.90373,11.46688,3.5322256,0.31,1.03,0.8,1309.37,56178.8,12.0,8.0,2.5,0.2
Denmark,2019,2.491,5.717463,0.946,2.89,11.09092,3.171469,0.36,1.27,1.7,1219.84,56814.0,19.0,8.0,2.5,0.4
Denmark,2020,2.508,5.785487867,0.946,2.84388,11.25571,3.2568736,0.34,1.36,1.37,1224.11,55518.6,21.0,8.0,2.5,0.3
Denmark,2021,2.5,5.471827067,0.947,2.77869,10.63049,3.0063012,0.62,0.87,0.91,1211.72,57962.7,13.0,8.0,2.5,0.2
Dominica,2017,4.0,,0.709,,,22.673565,2.58,13.43,0.0,,11511.6,46.0,172.0,5.6,
Dominica,2018,4.146,,0.744,,,9.3000851,1.44,11.02,0.0,,11849.3,45.0,214.0,6.1,
Dominica,2019,4.236,,0.745,,,9.2842569,1.67,11.98,0.0,,12395.4,28.0,236.0,6.4,
Dominica,2020,4.345,,0.738,,,9.1795931,,15.08,0.0,,10255.8,24.0,259.0,6.8,
Dominica,2021,4.561,,0.737,,,8.952466,,17.23,0.01,,10878.0,18.0,244.0,7.1,
Dominican Republic,2017,3.521,20.332891,0.761,15.70572,26.94865,18.344303,2.37,5.34,0.17,31.82,16524.5,26.0,22.0,6.7,24.9
Dominican Republic,2018,3.608,20.538586,0.763,15.82689,27.54961,18.239258,2.2,5.15,0.18,35.1,17484.1,27.0,22.0,6.0,21.7
Dominican Republic,2019,3.744,19.990674,0.765,15.12034,26.70762,18.144062,2.6,5.23,0.19,37.23,18171.1,26.0,22.0,5.7,20.6
Dominican Republic,2020,3.884,18.85489333,0.76,14.89355,23.95369,17.71744,2.13,6.04,0.22,36.2,16768.4,21.0,23.0,6.3,25.0
Dominican Republic,2021,4.128,18.36632833,0.756,14.58773,22.94886,17.562395,2.94,5.67,0.23,44.28,18626.1,10.0,25.0,6.3,25.8
Belarus,2017,3.177,6.997555467,0.811,3.67781,13.45182,3.8630364,4.98,7.57,0.07,35.14,18356.1,37.0,13.0,2.5,2.1
Belarus,2018,3.228,6.909248167,0.812,3.67781,13.33925,3.7106845,4.54,6.59,0.09,36.03,18974.7,36.0,11.0,2.5,1.1
Belarus,2019,3.31,6.581523333,0.81,2.77203,13.39122,3.58132,5.21,6.79,0.07,37.87,19279.2,33.0,10.0,2.5,1.4
Belarus,2020,3.31,6.303066233,0.8,2.77203,12.70066,3.4365087,4.69,7.08,0.07,39.69,19225.6,18.0,10.0,2.5,0.7
Belarus,2021,3.471,6.2741114,0.801,2.77203,12.70066,3.3496442,5.21,6.8,0.07,39.96,19751.2,25.0,9.0,2.5,0.5
Ecuador,2017,2.788,17.44202753,0.762,13.76572,28.77295,9.7874126,1.08,9.33,0.68,56.27,11679.4,55.0,6.0,9.7,17.6
Ecuador,2018,2.816,17.7899308,0.761,13.89605,29.8898,9.5839424,0.81,8.95,0.63,57.33,11608.4,49.0,6.0,10.8,18.3
Ecuador,2019,2.861,17.55286967,0.758,13.37391,29.9048,9.379899,0.52,8.8,0.62,57.47,11390.2,54.0,6.0,11.9,19.8
Ecuador,2020,2.928,17.59451093,0.734,12.59337,31.15541,9.0347528,0.76,9.84,0.64,49.41,10357.0,47.0,7.0,13.4,25.1
Ecuador,2021,3.035,17.0952075,0.746,11.80805,30.60738,8.8701925,0.69,9.41,0.63,52.57,10668.8,20.0,7.0,14.1,19.7
Egypt,2017,3.457,23.048839,0.709,36.94291,20.03285,12.170757,1.35,11.49,0.65,20.14,10435.9,30.0,46.0,6.0,67.4
Egypt,2018,3.507,22.46432733,0.717,36.94291,18.67705,11.773022,1.38,11.23,0.67,22.05,10783.8,17.0,44.0,6.4,70.1
Egypt,2019,3.503,22.335173,0.724,36.94291,18.67705,11.385559,1.18,11.05,0.69,23.78,11180.7,16.0,47.0,6.3,67.2
Egypt,2020,3.369,22.18645367,0.729,36.94291,18.67705,10.939401,1.3,11.57,0.75,21.99,11380.8,19.0,48.0,6.3,63.2
Egypt,2021,3.506,22.09744633,0.726,36.94291,18.67705,10.672379,1.4,11.44,0.81,23.14,11566.0,32.0,45.0,6.4,61.6
El Salvador,2017,,19.90805633,0.667,24.57278,23.78571,11.365679,1.11,5.39,0.09,24.91,8617.9,14.0,28.0,8.9,
El Salvador,2018,,19.63562433,0.673,23.7938,24.26595,10.847123,1.36,5.13,0.09,25.34,8812.2,26.0,29.0,8.0,
El Salvador,2019,,19.1580343,0.676,23.26684,24.32032,9.8869429,0.79,5.15,0.12,26.4,9021.4,34.0,29.0,7.1,
El Salvador,2020,,19.8093127,0.666,22.42308,27.35215,9.6527081,1.09,5.45,0.14,23.06,8267.3,43.0,34.0,7.2,
El Salvador,2021,,18.58513767,0.669,22.61124,23.59489,9.549283,1.16,4.92,0.1,25.42,9086.0,35.0,36.0,7.0,
Equatorial Guinea,2017,3.526,,0.65,,,32.923515,0.78,2.32,,2117.58,19617.8,,5.0,,
Equatorial Guinea,2018,3.599,,0.652,,,32.185715,1.17,2.26,,2002.18,17765.0,,5.0,,
Equatorial Guinea,2019,3.635,,0.653,,,31.539406,1.18,2.43,,1736.57,16240.4,,5.0,,
Equatorial Guinea,2020,3.676,,0.65,,,30.716782,1.36,2.99,,1401.19,15132.4,,5.0,,
Equatorial Guinea,2021,3.751,,0.647,,,30.084873,1.31,2.6,,1689.64,14637.0,,6.0,,
Estonia,2017,3.125,7.1687454,0.886,2.24441,15.56505,3.6967762,1.41,2.39,0.65,2.97,33821.9,39.0,9.0,2.5,1.0
Estonia,2018,3.188,6.7169303,0.89,2.28057,14.6062,3.2640209,1.25,2.09,0.56,3.44,34979.9,45.0,9.0,2.5,0.8
Estonia,2019,3.284,6.587251333,0.893,2.07887,14.61672,3.066164,1.12,2.38,0.64,5.8,36153.4,45.0,8.0,2.5,1.3
Estonia,2020,3.35,6.693562433,0.891,2.02737,15.00261,3.0507073,0.92,2.05,0.55,6.65,35883.3,64.0,8.0,2.5,1.1
Estonia,2021,3.29,6.666596267,0.89,1.98374,15.09049,2.9255588,0.98,2.02,0.58,6.02,38717.7,65.0,8.0,2.5,0.8
Fiji,2017,3.612,,0.728,,22.70677,14.400372,4.4,10.53,0.41,72.27,12822.0,29.0,33.0,8.9,44.9
Fiji,2018,3.677,,0.731,,22.70677,14.737334,4.71,10.91,0.44,74.39,13311.2,24.0,35.0,8.4,45.8
Fiji,2019,3.858,,0.73,,22.70677,14.962546,5.1,11.9,0.48,75.56,13241.4,32.0,34.0,6.9,52.9
Fiji,2020,3.914,,0.722,,18.51725,15.19716,4.4,14.5,0.48,67.42,10966.9,49.0,35.0,5.7,56.8
Fiji,2021,4.358,14.12631933,0.715,8.62374,18.51725,15.237968,3.81,14.52,0.46,63.57,10359.2,54.0,37.0,5.9,63.7
Finland,2017,2.545,5.5728885,0.934,2.27412,11.45,2.9945455,1.31,2.32,0.05,36.16,47570.1,20.0,7.0,2.5,0.1
Finland,2018,2.624,5.6367191,0.936,2.23415,11.69553,2.9804773,1.31,2.39,0.05,26.96,48048.5,11.0,6.0,2.5,0.2
Finland,2019,2.704,5.632102833,0.939,2.18746,11.6952,3.0136485,1.3,2.35,0.02,26.97,48583.4,13.0,6.0,2.5,0.1
Finland,2020,2.732,5.694581033,0.939,2.17777,12.02744,2.8785331,1.28,2.46,0.02,26.56,47443.9,16.0,6.0,2.5,0.1
Finland,2021,2.716,5.449893733,0.941,2.15997,11.41548,2.7742312,1.14,2.3,0.02,27.92,48753.4,14.0,6.0,2.5,0.0
France,2017,2.936,9.907302667,0.899,9.135,16.65512,3.931788,0.42,1.54,1.72,20.51,44577.1,78.0,9.0,2.5,0.1
France,2018,3.019,10.25518423,0.903,9.48623,17.30927,3.9700527,0.41,1.65,1.98,20.72,45246.0,67.0,9.0,2.5,0.1
France,2019,3.177,10.3517835,0.905,9.17329,17.97126,3.9108005,0.39,1.52,1.87,22.4,45922.8,50.0,9.0,2.5,0.3
France,2020,3.238,9.6917966,0.9,7.73526,17.48442,3.8557098,0.36,1.57,1.75,21.36,42233.1,56.0,9.0,2.5,0.3
France,2021,3.254,9.340094733,0.906,7.31511,16.8889,3.8162742,0.33,1.64,1.96,22.67,44993.1,65.0,9.0,2.5,0.2
French Polynesia,2017,,,,,,,,,,,,24.0,237.0,6.1,
French Polynesia,2018,,,,,,,,,,,,29.0,235.0,6.5,
French Polynesia,2019,,,,,,,,,,,,25.0,265.0,6.3,
French Polynesia,2020,,,,,,,,,,,,28.0,298.0,5.9,
French Polynesia,2021,,,,,,,,,,,,31.0,333.0,5.4,
Djibouti,2017,2.797,34.14545833,0.491,45.782,28.69215,27.962225,,1.43,13.09,,4451.7,47.0,61.0,20.2,65.8
Djibouti,2018,2.866,33.97221633,0.499,45.782,28.69215,27.442499,,1.26,12.56,,4589.4,36.0,36.0,19.9,66.4
Djibouti,2019,2.985,33.833807,0.508,45.782,28.69215,27.027271,,1.27,13.47,,4768.1,24.0,28.0,19.4,65.2
Djibouti,2020,3.112,33.54460033,0.512,45.782,28.69215,26.159651,,1.28,13.73,,4753.9,16.0,31.0,19.0,66.7
Djibouti,2021,3.25,33.39281933,0.512,45.782,28.69215,25.704308,,1.18,13.32,,4913.3,14.0,40.0,17.3,65.3
Georgia,2017,,13.20424393,0.807,3.54953,28.97723,7.0859718,1.89,6.24,0.36,13.66,13589.7,41.0,38.0,3.7,
Georgia,2018,,11.63053557,0.816,3.5105,24.39966,6.9814467,1.77,6.76,0.44,13.73,14253.4,47.0,34.0,3.7,
Georgia,2019,,11.87345017,0.816,3.41927,25.34995,6.8511305,2.23,6.5,0.41,9.57,14989.3,51.0,30.0,3.1,
Georgia,2020,,10.74419737,0.807,2.88656,22.67345,6.6725821,2.59,7.29,0.44,9.08,13966.3,66.0,29.0,3.1,
Georgia,2021,,10.24340537,0.809,2.68027,21.44991,6.6000361,2.89,6.12,0.33,10.5,15486.7,62.0,27.0,3.0,
Gabon,2017,3.358,25.43048133,0.699,23.47992,31.41673,21.394794,0.29,5.26,0.25,462.47,14478.1,15.0,10.0,17.4,28.5
Gabon,2018,3.403,25.290821,0.699,23.47992,31.41673,20.975813,1.29,5.44,0.26,484.19,14254.5,26.0,9.0,18.4,28.6
Gabon,2019,3.485,24.238014,0.702,20.63595,31.41673,20.661362,0.87,5.55,0.28,504.03,14478.0,26.0,8.0,19.5,28.4
Gabon,2020,3.553,24.07730633,0.704,20.63595,31.41673,20.179239,0.91,6.66,0.33,423.97,13903.3,27.0,8.0,20.9,29.9
Gabon,2021,3.704,23.91626133,0.687,20.63595,31.41673,19.696104,1.01,6.18,0.31,507.1,13813.7,17.0,8.0,22.1,29.9
Gambia,2017,2.942,37.29422367,0.477,49.32129,36.78957,25.771811,2.59,21.0,0.12,11.39,1927.0,35.0,155.0,16.7,72.6
Gambia,2018,3.008,36.57005733,0.483,47.65805,36.78957,25.262552,1.22,19.87,0.12,11.38,2012.6,22.0,151.0,17.6,70.8
Gambia,2019,3.054,36.12221933,0.492,47.00005,36.78957,24.577038,1.28,20.0,0.13,12.01,2083.3,28.0,138.0,17.8,69.6
Gambia,2020,3.11,35.89690733,0.492,47.00005,36.78957,23.901102,2.65,21.24,0.13,11.61,2042.6,25.0,158.0,18.3,71.8
Gambia,2021,3.324,36.81955,0.49,47.00005,40.11136,23.34724,1.8,22.42,0.15,12.44,2076.6,34.0,209.0,18.7,72.2
Germany,2017,2.786,7.228718333,0.944,2.7121,15.53201,3.442045,0.44,0.85,2.21,53.46,53071.5,13.0,5.0,2.5,0.7
Germany,2018,2.917,7.532041333,0.946,2.5904,16.51509,3.490634,0.46,0.69,1.49,57.41,53431.4,12.0,5.0,2.5,0.2
Germany,2019,2.984,7.3196353,0.951,2.6632,15.82086,3.4748459,0.43,0.78,1.9,61.95,53874.3,13.0,5.0,2.5,0.2
Germany,2020,3.038,7.610821133,0.948,3.6552,15.77783,3.3994334,0.39,0.75,1.78,58.71,51840.3,15.0,5.0,2.5,0.2
Germany,2021,3.082,7.815472933,0.948,3.7646,16.27366,3.4081588,0.42,0.85,2.07,61.0,53179.7,25.0,5.0,2.5,0.2
Bosnia and Herzegovina,2017,3.847,15.92705193,0.77,16.9737,26.50154,4.3059158,1.65,5.6,,46.06,13400.0,74.0,26.0,2.5,4.7
Bosnia and Herzegovina,2018,3.907,15.1670708,0.774,14.7886,26.50154,4.2110724,1.51,5.89,,43.4,14064.3,52.0,24.0,2.5,4.0
Bosnia and Herzegovina,2019,4.043,15.14160167,0.78,14.7886,26.50154,4.134665,1.49,5.6,,72.34,14632.1,28.0,24.0,2.5,3.9
Bosnia and Herzegovina,2020,3.961,13.80801437,0.776,10.9216,26.50154,4.0009031,1.8,6.08,,54.04,14356.4,32.0,24.0,2.5,3.0
Bosnia and Herzegovina,2021,4.105,13.80182907,0.776,10.9216,26.50154,3.9823472,1.72,5.16,,64.54,15663.7,37.0,23.0,2.5,3.0
Ghana,2017,3.767,36.985878,0.585,35.10167,50.9502,24.905764,0.71,19.56,0.15,161.19,4929.6,78.0,15.0,8.3,80.0
Ghana,2018,3.86,36.82113067,0.589,35.10167,50.9502,24.411522,1.19,18.14,0.15,181.89,5125.2,60.0,13.0,7.6,78.6
Ghana,2019,3.942,36.60091767,0.599,35.10167,50.9502,23.750883,0.83,17.32,0.15,194.68,5345.9,57.0,12.0,6.5,77.0
Ghana,2020,4.036,36.424334,0.601,35.10167,50.9502,23.221132,1.1,18.85,0.16,187.42,5263.5,73.0,14.0,5.7,78.1
Ghana,2021,4.237,36.26785133,0.6,35.10167,50.9502,22.751684,1.21,19.71,0.18,186.07,5435.2,80.0,16.0,5.1,77.4
Kiribati,2017,,,0.626,,22.81335,24.568491,1.33,30.5,,,1962.3,66.0,298.0,10.9,
Kiribati,2018,,18.84938467,0.629,9.63653,22.81335,24.098274,1.48,25.35,,,2033.7,36.0,264.0,10.9,
Kiribati,2019,,18.66750833,0.636,9.63653,22.81335,23.552645,1.4,25.87,,,1990.5,16.0,234.0,11.5,
Kiribati,2020,,16.05967,0.629,9.63653,15.54128,23.0012,1.05,26.47,,,1944.8,12.0,272.0,12.2,
Kiribati,2021,,15.88223367,0.627,9.63653,15.54128,22.468891,1.24,23.11,,,1937.1,24.0,366.0,12.1,
Greece,2017,3.037,11.93071603,0.88,12.7704,19.39413,3.6276181,0.48,3.86,0.45,56.87,28604.9,57.0,19.0,2.5,3.8
Greece,2018,3.102,10.910271,0.886,11.0679,18.13123,3.531683,0.53,3.64,0.44,60.95,29141.2,52.0,18.0,2.5,2.1
Greece,2019,3.167,10.50761673,0.89,11.5862,16.4521,3.4845502,0.5,3.81,0.48,61.29,29721.6,28.0,17.0,2.5,2.9
Greece,2020,3.14,10.79171453,0.887,11.5509,17.19801,3.6262336,0.8,4.24,0.5,61.27,27103.5,31.0,16.0,2.5,2.7
Greece,2021,3.174,11.0989977,0.887,11.0953,18.58916,3.6125331,0.61,3.87,0.5,74.18,29548.0,31.0,16.0,2.5,2.2
Greenland,2017,,,,,,,,,,,,,,,
Greenland,2018,,,,,,,,,,,,,,,
Greenland,2019,,,,,,,,,,,,,,,
Greenland,2020,,,,,,,,,,,,,,,
Greenland,2021,,,,,,,,,,,,,,,
Grenada,2017,5.382,,0.786,,,9.9696426,1.47,5.37,2.16,,14870.0,,261.0,,
Grenada,2018,5.536,,0.79,,,9.9645357,1.61,5.21,2.19,,15401.7,,296.0,,
Grenada,2019,5.625,,0.79,,,9.9008789,1.3,4.68,1.98,,15393.8,,311.0,,
Grenada,2020,5.796,,0.786,,,9.7879591,1.48,4.9,1.79,,13175.4,,338.0,,
Grenada,2021,6.097,,0.788,,,9.6339245,1.57,5.16,1.99,,13688.3,,327.0,,
Guatemala,2017,,27.840262,0.636,34.95493,32.80177,15.764086,1.49,9.7,0.84,21.41,8322.2,22.0,20.0,14.8,
Guatemala,2018,,27.71011433,0.64,34.95493,32.80177,15.373643,1.49,9.44,0.84,21.7,8469.1,14.0,21.0,14.4,
Guatemala,2019,,27.52783067,0.645,34.95493,32.80177,14.826792,1.19,9.41,0.88,22.94,8671.7,18.0,22.0,14.1,
Guatemala,2020,,27.32624333,0.638,34.95493,32.80177,14.22203,0.76,9.9,0.91,22.76,8390.2,16.0,23.0,14.1,
Guatemala,2021,,27.20710367,0.63,34.95493,32.80177,13.864611,0.82,9.4,0.93,24.86,8926.7,28.0,25.0,13.5,
Guinea,2017,3.655,41.29587433,0.467,50.83121,35.66884,37.387573,1.91,20.53,0.04,55.84,2383.6,21.0,28.0,13.3,88.5
Guinea,2018,3.863,40.914308,0.464,50.12411,35.66884,36.949974,3.25,22.33,0.04,57.72,2471.7,15.0,26.0,13.3,89.0
Guinea,2019,4.001,39.39872033,0.47,50.12411,31.63119,36.440861,3.82,26.43,0.05,57.89,2545.1,20.0,21.0,12.7,88.8
Guinea,2020,4.127,39.14568633,0.471,50.12411,31.63119,35.681759,3.61,25.78,0.05,59.57,2604.1,31.0,16.0,12.5,88.7
Guinea,2021,4.443,38.93625433,0.467,50.12411,31.63119,35.053463,,25.38,0.06,60.1,2640.3,35.0,13.0,12.4,89.1
Guyana,2017,4.629,,0.699,10.70029,,17.247311,8.9,22.76,0.01,56.13,12193.6,96.0,17.0,3.4,45.0
Guyana,2018,4.742,,0.704,10.70029,,16.905985,9.7,19.54,0.01,60.03,12374.2,92.0,17.0,3.3,44.5
Guyana,2019,4.828,,0.711,10.42545,,16.561741,7.74,17.6,0.01,69.25,12820.5,67.0,16.0,3.5,42.0
Guyana,2020,4.887,,0.727,10.42545,,16.102518,7.02,16.85,0.01,135.53,18430.6,113.0,13.0,3.6,24.9
Guyana,2021,5.117,,0.721,10.42545,,15.759367,,13.49,0.01,233.82,21925.2,136.0,10.0,3.0,18.5
Haiti,2017,3.93,39.17550033,0.557,37.33677,52.06961,28.120121,8.87,18.9,0.24,65.94,3187.8,30.0,134.0,39.6,84.7
Haiti,2018,4.075,39.010909,0.559,37.33677,52.06961,27.626347,2.14,18.76,0.24,68.61,3197.1,25.0,129.0,41.1,84.7
Haiti,2019,4.275,38.86350967,0.559,37.33677,52.06961,27.184149,3.02,19.41,0.24,64.32,3101.6,31.0,122.0,42.2,86.9
Haiti,2020,4.49,38.65498167,0.557,37.33677,52.06961,26.558565,3.64,19.08,0.23,59.93,2959.1,28.0,133.0,43.6,88.9
Haiti,2021,4.814,38.66292833,0.551,37.33677,52.06961,26.582405,1.5,20.62,0.25,68.18,2870.1,13.0,142.0,43.3,92.6
Honduras,2017,3.36,22.52926033,0.614,23.34882,33.20247,11.036491,1.94,12.67,0.24,47.39,5447.7,46.0,16.0,14.9,48.5
Honduras,2018,3.415,22.15677633,0.614,22.45661,33.2765,10.737219,1.84,11.61,0.23,49.1,5561.3,31.0,16.0,14.3,48.0
Honduras,2019,3.404,22.56802933,0.629,21.61232,35.56672,10.525048,2.71,10.75,0.22,49.27,5613.7,10.0,16.0,14.1,46.5
Honduras,2020,3.486,22.471581,0.621,21.61232,35.56672,10.235703,1.79,12.12,0.23,43.0,5028.1,10.0,17.0,14.5,49.7
Honduras,2021,3.595,22.437462,0.62,21.61232,35.56672,10.133346,2.26,11.04,0.23,50.18,5572.2,8.0,18.0,16.2,44.8
Hungary,2017,3.302,6.740377567,0.846,3.19396,13.01324,4.0139327,1.1,3.75,0.4,9.09,29501.1,79.0,4.0,2.5,3.7
Hungary,2018,3.383,6.471911,0.85,3.11063,12.47351,3.831593,0.87,3.49,0.37,9.14,31122.5,75.0,4.0,2.5,2.4
Hungary,2019,3.49,6.228825467,0.854,2.95045,11.69234,4.0436864,1.0,3.33,0.4,10.34,32649.1,62.0,4.0,2.5,2.2
Hungary,2020,3.507,6.135731367,0.849,2.86309,11.68275,3.8613541,1.1,3.39,0.43,9.1,31231.6,28.0,4.0,2.5,2.0
Hungary,2021,3.418,6.091853067,0.846,2.74097,11.58068,3.9539092,0.93,3.35,0.46,9.78,33593.2,33.0,4.0,2.5,1.5
Croatia,2017,4.168,8.124152267,0.855,4.93405,15.72621,3.7121968,1.54,2.89,0.48,19.28,27207.0,53.0,17.0,2.5,6.2
Croatia,2018,4.22,7.9123953,0.86,4.67412,15.31503,3.7480359,1.48,2.95,0.61,19.67,28220.0,51.0,17.0,2.5,4.1
Croatia,2019,4.273,7.521097067,0.866,4.58012,14.40099,3.5821812,1.47,2.87,0.72,19.7,29347.5,50.0,17.0,2.5,3.4
Croatia,2020,4.301,7.2159956,0.86,4.24197,13.73243,3.6735868,1.29,3.08,0.65,18.07,26945.9,34.0,17.0,2.5,3.3
Croatia,2021,4.29,7.3685682,0.867,4.0466,14.3022,3.7569046,1.19,2.91,0.7,20.14,31630.2,28.0,17.0,2.5,1.8
Iceland,2017,2.213,5.608137,0.955,2.20921,11.64078,2.974421,1.79,3.78,0.72,15.28,55638.5,60.0,9.0,2.5,0.0
Iceland,2018,2.247,5.1084165,0.958,2.20077,10.67821,2.4462695,1.69,3.92,0.78,16.24,56816.4,60.0,9.0,2.5,0.0
Iceland,2019,2.314,5.0347849,0.958,2.20077,10.67821,2.2253747,1.6,4.38,0.89,16.63,56923.2,40.0,10.0,2.5,0.0
Iceland,2020,2.42,4.988225733,0.955,2.20077,10.67821,2.0856972,1.43,4.34,0.82,15.53,52174.6,16.0,10.0,2.5,0.0
Iceland,2021,2.416,4.944484133,0.957,2.20077,10.67821,1.9544724,1.43,4.52,0.9,16.8,53586.2,28.0,10.0,2.5,0.1
India,2017,2.824,31.89943167,0.636,38.66773,37.44141,19.589155,7.47,16.56,0.43,35.05,6112.1,18.0,8.0,13.5,78.8
India,2018,2.83,32.10605,0.636,38.66773,38.81475,18.83567,7.5,16.03,0.45,37.35,6436.2,21.0,7.0,12.9,73.2
India,2019,2.877,31.08472333,0.638,36.87573,38.20976,18.16868,7.5,16.73,0.48,35.63,6608.6,21.0,6.0,13.1,71.4
India,2020,2.97,31.20966967,0.638,36.87573,39.35734,17.395939,7.09,18.23,0.49,33.08,6114.0,21.0,6.0,14.4,76.2
India,2021,3.066,30.88787033,0.633,36.87573,38.85118,16.936701,7.14,16.82,0.49,38.31,6592.0,11.0,6.0,15.9,74.1
Indonesia,2017,4.129,19.31501567,0.708,18.4857,24.57862,14.880727,5.03,13.16,0.29,39.64,10941.9,27.0,8.0,6.7,72.8
Indonesia,2018,4.273,18.68383267,0.712,17.2457,24.35677,14.449028,3.58,12.81,0.3,42.08,11397.4,41.0,9.0,6.0,71.0
Indonesia,2019,4.268,18.28409933,0.718,17.2457,23.60615,14.000448,3.3,12.71,0.31,43.32,11857.8,38.0,9.0,5.9,69.5
